Major,Male,Female,Neutral
Germanic Lang & Lit ,4,4,0
Germanic Lang & Lit ,0,3,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,1,3,0
Germanic Lang & Lit ,1,1,0
French ,5,7,0
French ,0,1,0
French ,2,12,0
Community Health ,23,126,0
Community Health ,60,198,1
Community Health ,6,69,0
Kinesiology ,3,11,0
Kinesiology ,28,15,1
Speech & Hearing Science ,0,7,0
Speech & Hearing Science ,3,7,0
Speech & Hearing Science ,9,140,0
Leisure Studies ,2,1,0
"Recreation, Sport, and Tourism ",29,21,0
"Recreation, Sport, and Tourism ",15,34,0
"Recreation, Sport, and Tourism ",129,37,1
Veterinary Medicine ,0,3,0
Veterinary Medicine ,0,1,0
VMS - Veterinary Biosciences ,2,0,0
Bioinformatics ,2,3,0
Bioenergy ,6,0,0
Agricultural Production ,2,2,0
"Agribusiness, Farm & Financial ",0,1,0
"Agribusiness, Farm & Financial ",2,0,0
"Intl, Resource, Consumer Econ ",1,0,0
Agr & Consumer Economics ,33,28,0
Agr & Consumer Economics ,33,25,0
Agr & Consumer Economics ,35,2,0
Agr & Consumer Economics ,105,46,0
Agr & Consumer Economics ,65,28,0
Agr & Consumer Economics ,27,8,0
Agr & Consumer Economics ,22,13,0
Agr & Consumer Economics ,27,21,0
Agr & Consumer Economics ,44,15,0
Animal Sciences ,7,10,0
Animal Sciences ,17,84,0
Animal Sciences ,10,16,0
Animal Sciences ,71,278,1
Food Science & Human Nutrition ,25,66,0
Food Science & Human Nutrition ,12,12,0
Food Science & Human Nutrition ,18,83,0
Food Science & Human Nutrition ,2,66,0
Food Science & Human Nutrition ,19,51,0
Food Science & Human Nutrition ,2,0,0
Food Science & Human Nutrition ,0,1,0
Food Science & Human Nutrition ,1,0,0
Agr & Environmental Cmc & Educ ,2,5,0
Agr & Environmental Cmc & Educ ,6,20,0
Agr & Environmental Cmc & Educ ,12,40,0
Human Development & Family St ,10,126,1
Human Development & Family St ,5,69,1
Human & Community Development ,1,2,0
Crop Sciences ,2,1,0
Crop Sciences ,13,7,0
Crop Sciences ,32,9,0
Crop Sciences ,12,8,0
Crop Sciences ,4,3,0
Horticulture ,1,1,0
Horticulture ,28,12,0
Horticulture ,0,2,0
Horticulture ,0,1,0
Bioinformatics ,4,2,0
Natural Resrcs & Environ Sci ,3,6,0
Natural Resrcs & Environ Sci ,23,22,0
Natural Resrcs & Environ Sci ,14,2,0
Natural Resrcs & Environ Sci ,17,22,0
Natural Resrcs & Environ Sci ,21,14,0
Natural Resrcs & Environ Sci ,8,7,0
Natural Resrcs & Environ Sci ,6,9,0
Natural Resrcs & Environ Sci ,4,6,0
Natural Resrcs & Environ Sci ,2,1,0
Business Administration (MBA) ,66,29,0
Accountancy ,28,41,0
Accountancy ,3,1,0
Accountancy ,15,10,0
Business Administration ,12,14,0
Business Administration ,1,4,0
Business Administration ,1,0,0
Business Administration ,3,0,0
Business Administration ,6,1,0
Management ,16,11,0
Management ,6,8,0
Management ,16,32,0
Management ,7,10,0
Management ,23,21,1
Management ,4,11,0
Business Administration (MBA) ,64,15,5
Early Childhood Education ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,1,3,0
Early Childhood Education ,0,5,0
Early Childhood Education ,0,10,0
Early Childhood Education ,0,11,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,5,0
Elementary Education ,0,2,0
Elementary Education ,0,2,0
Elementary Education ,0,3,0
Elementary Education ,2,11,0
Elementary Education ,2,53,0
Elementary Education ,0,1,0
Elementary Education ,2,82,0
Elementary Education ,1,1,0
Elementary Education ,2,32,0
Elementary Education ,0,10,0
Elementary Education ,0,1,0
Elementary Education ,1,4,0
Elementary Education ,0,1,0
Elementary Education ,0,37,0
Elementary Education ,1,3,0
Elementary Education ,3,9,0
Secondary & Continuing Educ ,0,2,0
Secondary Education ,0,6,0
Secondary Education ,3,1,0
Secondary Education ,2,0,0
Secondary Education ,2,3,0
Ed Organization and Leadership ,0,1,0
Ed Organization and Leadership ,1,1,0
Ed Organization and Leadership ,2,17,0
Ed Organization and Leadership ,3,5,0
Ed Organization and Leadership ,0,1,0
Ed Organization and Leadership ,1,0,0
Ed Organization and Leadership ,1,0,0
Human Resource Education ,1,1,0
Human Resource Education ,12,16,0
Human Resource Education ,1,3,0
Human Resource Education ,18,10,0
Agricultural Engineering ,1,0,0
Agricultural & Biological Engr ,1,0,0
Computer Science ,5,1,0
Computer Science ,3,0,0
Bioinformatics ,3,2,0
Mechanical Engineering ,3,0,0
Mechanical Engineering ,19,0,0
Materials Science & Engr ,5,2,0
Materials Science & Engr ,9,1,0
Materials Science & Engr ,11,5,0
Materials Science & Engr ,11,4,0
Materials Science & Engr ,17,9,0
Nuclear Engineering ,44,7,0
Nuclear Engineering ,16,0,0
Nuclear Engineering ,6,3,0
"Nuclear, Plasma, Radiolgc Engr ",2,1,0
"Nuclear, Plasma, Radiolgc Engr ",2,1,0
"Nuclear, Plasma, Radiolgc Engr ",1,0,0
Music ,3,7,0
Music ,41,70,0
Music ,12,6,0
Music ,3,5,0
Music ,14,2,0
Music Education ,16,36,0
Music Education ,73,70,0
Music Education ,1,2,0
Music ,16,17,0
Music ,1,0,0
Music ,6,6,0
Music ,1,4,0
Music ,2,0,0
Music ,1,2,0
Music ,7,0,0
Crafts ,2,3,0
Crafts ,1,8,0
Art and Design ,1,2,0
Art and Design ,6,5,0
Art and Design ,2,6,0
Art and Design ,2,4,0
Art and Design ,2,4,0
Art and Design ,1,2,0
Landscape Architecture ,19,20,0
Architecture ,85,56,0
Architecture ,15,12,0
Theatre ,0,1,0
Theatre ,3,4,0
Theatre ,7,15,0
Theatre ,12,15,0
Theatre ,0,3,0
Theatre ,2,0,0
Theatre ,5,1,0
Theatre ,3,0,0
Theatre ,1,3,0
Theatre ,12,22,0
Theatre ,6,3,0
Theatre ,18,21,0
Media and Cinema Studies ,1,0,0
Anthropology ,2,8,0
Anthropology ,1,1,0
Mathematics ,0,1,0
Mathematics ,1,0,0
Mathematics ,6,2,0
Mathematics ,0,1,0
Mathematics ,6,1,0
Mathematics ,1,0,0
Mathematics ,22,36,0
Mathematics ,0,1,0
Applied Mathematics ,3,8,0
"Earth Systems, Env, & Society ",36,33,0
"Earth Systems, Env, & Society ",21,20,0
Integrative Biology ,11,22,0
Integrative Biology ,1,1,0
Biology ,1,0,0
Biology ,6,8,0
Biology ,3,8,0
Biology ,4,4,0
Biology ,5,4,0
Economics ,48,40,0
Chemistry ,10,4,0
Chemistry ,0,1,0
Molecular and Cellular Biology ,35,45,0
Molecular and Cellular Biology ,5,2,0
History ,43,39,0
History ,1,0,0
Religious Studies ,0,1,0
Religious Studies ,1,0,0
Religious Studies ,1,0,0
Religion ,0,1,0
Religion ,0,1,0
Religion ,1,0,0
Religion ,0,1,0
English ,19,66,0
English ,1,0,0
Rhetoric ,61,47,0
Rhetoric ,1,7,0
Classics ,1,0,0
Classics ,5,2,0
Classics ,1,0,0
Classics ,7,7,0
Classics ,2,1,0
Interdisciplinary ,2,0,0
Interdisciplinary ,10,5,0
Interdisciplinary ,1,2,0
Interdisciplinary ,0,5,0
Physics ,6,1,0
Statistics ,1,0,0
Statistics ,3,1,0
Spanish ,2,6,0
Geology ,3,0,0
Geology ,4,1,0
Geology ,1,1,0
Geology ,2,6,0
Chemical Engineering ,12,3,0
Political Science ,7,9,0
Comparative Literature ,4,2,1
Comparative Literature ,0,1,0
Linguistics ,7,4,0
Geography ,1,0,0
Geography ,1,1,0
Geography ,1,0,0
Germanic Lang & Lit ,2,3,0
Germanic Lang & Lit ,0,2,0
Germanic Lang & Lit ,0,2,0
Germanic Lang & Lit ,1,1,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,1,0,0
French ,5,9,0
French ,0,2,0
French ,6,10,0
French ,0,1,0
Community Health ,17,136,0
Community Health ,64,200,1
Community Health ,14,68,0
Kinesiology ,3,5,0
Kinesiology ,23,10,1
Speech & Hearing Science ,0,4,0
Speech & Hearing Science ,2,9,0
Speech & Hearing Science ,8,195,0
Leisure Studies ,2,0,0
"Recreation, Sport, and Tourism ",25,26,0
"Recreation, Sport, and Tourism ",11,21,0
"Recreation, Sport, and Tourism ",124,28,1
Health ,0,1,0
Veterinary Medicine ,0,3,0
Veterinary Medicine ,0,2,0
VMS - Veterinary Biosciences ,2,0,0
Social Work ,0,5,0
Social Work ,1,6,0
Social Work ,1,10,0
Library & Information Science ,0,1,0
Bioinformatics ,1,3,0
Bioenergy ,4,2,0
Agricultural Production ,2,2,0
Agr & Consumer Economics ,42,39,0
Agr & Consumer Economics ,49,17,0
Agr & Consumer Economics ,26,1,0
Agr & Consumer Economics ,88,38,0
Agr & Consumer Economics ,50,17,0
Agr & Consumer Economics ,22,8,0
Agr & Consumer Economics ,25,16,0
Agr & Consumer Economics ,19,21,0
Agr & Consumer Economics ,43,24,0
Animal Sciences ,4,7,0
Animal Sciences ,9,52,0
Animal Sciences ,6,11,0
Animal Sciences ,32,151,0
Animal Sciences ,1,5,0
Animal Sciences ,5,41,0
Animal Sciences ,28,107,1
Bioinformatics ,4,0,0
Food Science & Human Nutrition ,29,72,0
Food Science & Human Nutrition ,12,15,0
Food Science & Human Nutrition ,13,93,0
Food Science & Human Nutrition ,2,65,0
Food Science & Human Nutrition ,20,49,0
Food Science & Human Nutrition ,8,8,0
Food Science & Human Nutrition ,2,6,0
Food Science & Human Nutrition ,1,2,0
Food Science & Human Nutrition ,2,5,0
Food Science & Human Nutrition ,1,2,0
Agr & Environmental Cmc & Educ ,6,9,0
Agr & Environmental Cmc & Educ ,6,21,0
Agr & Environmental Cmc & Educ ,10,39,0
Human Development & Family St ,10,138,0
Human Development & Family St ,8,56,0
Human & Community Development ,3,5,0
Crop Sciences ,2,0,0
Crop Sciences ,19,7,0
Crop Sciences ,30,10,0
Crop Sciences ,13,11,0
Crop Sciences ,2,2,0
Crop Sciences ,0,1,0
Horticulture ,2,1,0
Horticulture ,17,9,0
Horticulture ,4,4,0
Bioinformatics ,5,0,0
Natural Resrcs & Environ Sci ,12,9,0
Natural Resrcs & Environ Sci ,11,12,0
Natural Resrcs & Environ Sci ,6,1,0
Natural Resrcs & Environ Sci ,3,11,0
Natural Resrcs & Environ Sci ,11,4,0
Natural Resrcs & Environ Sci ,5,3,0
Natural Resrcs & Environ Sci ,16,13,0
Natural Resrcs & Environ Sci ,22,27,0
Natural Resrcs & Environ Sci ,9,5,0
Business Administration (MBA) ,64,26,0
Accountancy ,6,4,0
Business Administration ,1,1,0
Business Administration ,1,1,0
Management ,14,8,0
Management ,6,8,0
Management ,23,24,0
Management ,8,8,0
Management ,26,22,1
Management ,2,15,0
Business Administration (MBA) ,56,13,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,4,0
Early Childhood Education ,0,8,0
Early Childhood Education ,0,11,0
Early Childhood Education ,0,11,0
Early Childhood Education ,0,2,0
Early Childhood Education ,0,5,0
Elementary Education ,0,1,0
Elementary Education ,0,2,0
Elementary Education ,0,3,0
Elementary Education ,2,11,0
Elementary Education ,1,56,0
Elementary Education ,0,1,0
Elementary Education ,5,91,0
Elementary Education ,0,1,0
Elementary Education ,0,0,1
Elementary Education ,0,1,0
Elementary Education ,1,18,0
Elementary Education ,0,11,0
Elementary Education ,0,1,0
Elementary Education ,0,6,0
Elementary Education ,3,33,0
Elementary Education ,0,9,0
Elementary Education ,0,4,0
Elementary Education ,2,8,0
Secondary Education ,0,3,0
Secondary Education ,2,0,0
Secondary Education ,2,0,0
Secondary Education ,2,3,0
Ed Organization and Leadership ,0,1,0
Ed Organization and Leadership ,1,1,0
Ed Organization and Leadership ,3,1,0
Ed Organization and Leadership ,3,23,0
Ed Organization and Leadership ,7,14,0
Ed Organization and Leadership ,2,1,0
Ed Organization and Leadership ,1,2,0
Human Resource Education ,1,1,0
Human Resource Education ,6,19,0
Human Resource Education ,3,4,0
Human Resource Education ,15,11,0
Agricultural Engineering ,1,0,0
Computer Science ,7,2,0
Bioinformatics ,1,1,0
Mechanical Engineering ,7,1,0
Materials Science & Engr ,6,3,0
Materials Science & Engr ,15,0,0
Materials Science & Engr ,13,4,0
Materials Science & Engr ,16,8,0
Materials Science & Engr ,11,6,0
Materials Science & Engr ,0,1,0
Nuclear Engineering ,1,0,0
Nuclear Engineering ,36,5,0
Nuclear Engineering ,11,1,0
Nuclear Engineering ,3,0,0
"Nuclear, Plasma, Radiolgc Engr ",25,5,0
"Nuclear, Plasma, Radiolgc Engr ",11,2,0
"Nuclear, Plasma, Radiolgc Engr ",2,3,0
Music ,4,6,0
Music ,45,71,0
Music ,13,4,0
Music ,2,6,0
Music ,20,1,0
Music Education ,12,31,0
Music Education ,66,64,0
Music Education ,2,2,0
Music ,22,29,0
Music ,0,1,0
Music ,7,2,0
Music ,2,5,0
Music ,3,1,0
Music ,1,2,0
Music ,14,1,0
Crafts ,1,3,0
Crafts ,0,8,0
Art and Design ,2,0,0
Art and Design ,6,4,0
Art and Design ,2,4,0
Art and Design ,3,5,0
Art and Design ,1,1,0
Art and Design ,1,2,0
Landscape Architecture ,24,30,0
Architecture ,80,59,0
Architecture ,15,15,0
Theatre ,3,7,0
Theatre ,3,13,0
Theatre ,15,18,0
Theatre ,0,3,0
Theatre ,3,0,0
Theatre ,6,0,0
Theatre ,3,0,0
Theatre ,0,4,0
Theatre ,16,19,0
Theatre ,6,3,0
Theatre ,10,21,0
Media and Cinema Studies ,18,11,0
Media and Cinema Studies ,15,25,0
Anthropology ,0,1,0
Anthropology ,0,4,0
Anthropology ,1,0,0
Mathematics ,2,0,0
Mathematics ,2,3,0
Mathematics ,2,1,0
Mathematics ,1,0,0
Mathematics ,5,2,0
Mathematics ,1,0,0
Mathematics ,31,33,0
Mathematics ,0,1,0
Applied Mathematics ,9,2,0
Mathematics ,1,0,0
"Earth Systems, Env, & Society ",44,36,0
"Earth Systems, Env, & Society ",1,3,0
"Earth Systems, Env, & Society ",23,21,0
"Earth Systems, Env, & Society ",0,1,0
"Earth, Society, & Environment ",0,1,0
E Asian Languages & Cultures ,0,3,0
Integrative Biology ,1,0,0
Integrative Biology ,13,21,0
Integrative Biology ,2,3,0
Biology ,0,2,0
Biology ,6,9,0
Biology ,2,6,0
Biology ,3,2,0
Biology ,3,5,0
Economics ,71,44,0
Chemistry ,2,2,0
Chemistry ,1,1,0
Chemistry ,11,5,0
Molecular and Cellular Biology ,37,35,0
Molecular and Cellular Biology ,6,5,0
History ,41,38,0
History ,1,0,0
Religious Studies ,0,1,0
Religious Studies ,0,1,0
Religious Studies ,1,0,0
Religion ,1,2,0
Religion ,2,0,0
Religion ,1,0,0
Religion ,0,2,0
English ,22,61,0
Rhetoric ,3,3,0
Rhetoric ,47,40,0
Rhetoric ,4,7,0
English ,0,1,0
Classics ,2,0,0
Classics ,2,2,0
Classics ,1,0,0
Classics ,1,1,0
Classics ,3,4,0
Interdisciplinary ,0,1,0
Interdisciplinary ,6,2,0
Interdisciplinary ,0,2,0
Interdisciplinary ,0,1,0
Physics ,7,1,0
Statistics ,4,5,0
Spanish ,2,6,0
Geology ,2,1,0
Geology ,1,0,0
Geology ,2,1,0
Geology ,0,1,0
Geology ,2,1,0
Chemical Engineering ,1,0,0
Chemical Engineering ,7,1,0
Political Science ,8,8,0
Comparative Literature ,0,2,1
Comparative Literature ,0,1,0
Linguistics ,2,1,0
Geography ,1,0,0
Geography ,1,1,0
Geography ,1,0,0
Geography ,0,1,0
Geography ,1,1,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,0,2,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,1,0,0
French ,1,1,0
French ,3,2,0
French ,0,1,0
French ,4,13,0
Community Health ,22,153,0
Community Health ,68,181,1
Community Health ,15,68,0
Kinesiology ,20,8,0
Speech & Hearing Science ,0,5,0
Speech & Hearing Science ,4,13,0
Speech & Hearing Science ,5,196,0
"Recreation, Sport, and Tourism ",20,23,0
"Recreation, Sport, and Tourism ",11,41,0
"Recreation, Sport, and Tourism ",123,20,1
"Recreation, Sport, and Tourism ",32,9,0
Health ,2,14,0
Health ,10,25,0
Health ,3,15,0
Veterinary Medicine ,0,1,0
Veterinary Medicine ,0,1,0
VMS - Veterinary Biosciences ,2,1,0
Social Work ,0,17,0
Social Work ,11,51,0
Social Work ,5,56,0
Social Work ,2,12,0
Social Work ,4,36,0
Bioinformatics ,1,1,0
Bioenergy ,6,0,0
Agricultural Production ,2,2,0
Agric Leadership & Sci Educ ,7,8,0
Agric Leadership & Sci Educ ,6,9,0
Agr & Consumer Economics ,46,41,0
Agr & Consumer Economics ,14,7,0
Agr & Consumer Economics ,20,1,0
Agr & Consumer Economics ,90,28,0
Agr & Consumer Economics ,61,20,0
Agr & Consumer Economics ,20,9,0
Agr & Consumer Economics ,17,18,0
Agr & Consumer Economics ,17,17,0
Agr & Consumer Economics ,41,26,0
Agr & Consumer Economics ,52,10,0
Animal Sciences ,1,2,0
Animal Sciences ,5,30,0
Animal Sciences ,4,5,0
Animal Sciences ,10,76,0
Animal Sciences ,3,9,0
Animal Sciences ,9,58,0
Animal Sciences ,45,186,1
Bioinformatics ,5,0,0
Food Science & Human Nutrition ,36,82,0
Food Science & Human Nutrition ,10,16,0
Food Science & Human Nutrition ,22,93,0
Food Science & Human Nutrition ,1,79,0
Food Science & Human Nutrition ,22,47,0
Food Science & Human Nutrition ,8,16,0
Food Science & Human Nutrition ,0,6,0
Food Science & Human Nutrition ,1,5,0
Food Science & Human Nutrition ,3,8,0
Food Science & Human Nutrition ,1,4,0
Technical Systems Management ,3,1,0
Agr & Environmental Cmc & Educ ,1,2,0
Agr & Environmental Cmc & Educ ,0,4,0
Agr & Environmental Cmc & Educ ,6,30,0
Human Development & Family St ,11,143,0
Human Development & Family St ,5,65,0
Human & Community Development ,3,5,0
Crop Sciences ,2,0,0
Crop Sciences ,21,4,0
Crop Sciences ,31,9,0
Crop Sciences ,18,9,0
Crop Sciences ,3,0,0
Crop Sciences ,0,1,0
Horticulture ,2,1,0
Horticulture ,1,0,0
Horticulture ,6,3,0
Horticulture ,4,2,0
Horticulture ,2,2,0
Horticulture ,7,3,0
Bioinformatics ,6,2,0
Natural Resrcs & Environ Sci ,20,18,0
Natural Resrcs & Environ Sci ,14,9,0
Natural Resrcs & Environ Sci ,1,0,0
Natural Resrcs & Environ Sci ,0,4,0
Natural Resrcs & Environ Sci ,3,1,0
Natural Resrcs & Environ Sci ,2,1,0
Natural Resrcs & Environ Sci ,28,30,0
Natural Resrcs & Environ Sci ,43,36,0
Natural Resrcs & Environ Sci ,14,7,0
Business Administration (MBA) ,99,40,0
Accountancy ,0,1,0
Business Administration ,1,0,0
Management ,12,8,0
Management ,4,7,0
Management ,18,14,0
Management ,4,15,0
Management ,22,17,0
Management ,3,13,0
Business Administration (MBA) ,29,14,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,4,0
Early Childhood Education ,0,9,0
Early Childhood Education ,0,2,0
Early Childhood Education ,0,6,0
Early Childhood Education ,0,7,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,6,0
Elementary Education ,0,1,0
Elementary Education ,0,1,0
Elementary Education ,0,1,0
Elementary Education ,2,9,0
Elementary Education ,2,64,0
Elementary Education ,8,93,0
Elementary Education ,0,2,0
Elementary Education ,0,0,1
Elementary Education ,0,1,0
Elementary Education ,0,14,0
Elementary Education ,0,7,0
Elementary Education ,0,2,0
Elementary Education ,0,4,0
Elementary Education ,6,31,0
Elementary Education ,0,13,0
Elementary Education ,0,9,0
Elementary Education ,1,7,0
Secondary Education ,1,2,0
Secondary Education ,0,2,0
Secondary Education ,0,1,0
Ed Organization and Leadership ,0,1,0
Ed Organization and Leadership ,2,2,0
Ed Organization and Leadership ,6,1,0
Human Resource Education ,2,2,0
Ed Organization and Leadership ,6,16,0
Ed Organization and Leadership ,5,19,0
Human Resource Education ,3,14,0
Ed Organization and Leadership ,2,0,0
Human Resource Education ,1,2,0
Ed Organization and Leadership ,1,3,0
Human Resource Education ,14,10,0
Agricultural Engineering ,1,0,0
Agricultural & Biological Engr ,3,4,0
Agricultural & Biological Engr ,9,1,0
Agricultural & Biological Engr ,8,6,0
Computer Science ,12,1,0
Computer Science ,3,2,0
Bioinformatics ,2,0,0
Mechanical Engineering ,1,0,0
Mechanical Engineering ,3,0,0
Materials Science & Engr ,8,1,0
Materials Science & Engr ,17,5,0
Materials Science & Engr ,14,6,0
Materials Science & Engr ,7,4,0
Materials Science & Engr ,15,11,0
Materials Science & Engr ,3,1,0
Nuclear Engineering ,27,6,0
Nuclear Engineering ,8,1,0
"Nuclear, Plasma, Radiolgc Engr ",53,6,0
"Nuclear, Plasma, Radiolgc Engr ",15,3,0
"Nuclear, Plasma, Radiolgc Engr ",5,2,0
Music ,3,5,0
Music ,42,79,1
Music ,14,5,0
Music ,2,5,0
Music ,21,1,0
Music Education ,9,28,0
Music Education ,57,54,0
Music Education ,1,3,0
Music ,21,32,0
Music ,1,3,0
Music ,4,1,0
Music ,2,7,0
Music ,2,0,0
Music ,4,1,0
Music ,0,2,0
Music ,14,2,0
Crafts ,1,2,0
Crafts ,0,8,0
Art and Design ,1,1,0
Art and Design ,6,2,0
Art and Design ,2,4,0
Art and Design ,4,5,0
Art and Design ,2,1,0
Art and Design ,1,4,0
Landscape Architecture ,4,3,0
Architecture ,97,61,0
Architecture ,18,13,0
Theatre ,3,5,0
Theatre ,7,16,0
Theatre ,16,18,0
Theatre ,0,3,0
Theatre ,3,0,0
Theatre ,4,1,0
Theatre ,2,1,0
Theatre ,1,1,0
Theatre ,13,9,0
Theatre ,6,3,0
Theatre ,11,25,0
Media and Cinema Studies ,29,22,0
Media and Cinema Studies ,21,37,0
Agricultural Communications ,1,4,0
Agricultural Communications ,0,1,0
Agricultural Communications ,0,4,0
Anthropology ,5,5,0
Mathematics ,2,1,0
Mathematics ,1,0,0
Mathematics ,11,4,0
Mathematics ,5,4,0
Mathematics ,5,1,0
Mathematics ,25,42,0
Mathematics ,1,1,0
Applied Mathematics ,2,6,0
"Earth Systems, Env, & Society ",0,1,0
"Earth Systems, Env, & Society ",14,16,0
"Earth Systems, Env, & Society ",2,5,0
"Earth Systems, Env, & Society ",22,14,0
"Earth Systems, Env, & Society ",0,2,0
"Earth, Society, & Environment ",8,8,0
"Earth, Society, & Environment ",0,1,0
"Earth, Society, & Environment ",8,7,0
Plant Biology ,2,1,0
Integrative Biology ,15,16,0
Integrative Biology ,1,3,0
Biology ,2,1,0
Biology ,7,6,0
Biology ,0,3,0
Biology ,2,1,0
Biology ,4,4,0
Economics ,63,41,0
Chemistry ,2,1,0
Chemistry ,8,6,0
Molecular and Cellular Biology ,30,24,0
Molecular and Cellular Biology ,4,5,0
History ,2,0,0
History ,0,1,0
History ,43,29,0
Religious Studies ,0,2,0
Religion ,2,1,0
Religion ,1,0,0
English ,20,67,0
English ,0,1,0
Rhetoric ,36,46,0
Rhetoric ,6,9,0
English ,0,1,0
Classics ,1,0,0
Classics ,1,3,0
Classics ,2,2,0
Classics ,0,1,0
Interdisciplinary ,0,1,0
Interdisciplinary ,3,0,0
Interdisciplinary ,0,1,0
Physics ,7,0,0
Statistics ,0,1,0
Statistics ,3,5,0
Geology ,5,1,0
Geology ,5,0,0
Geology ,0,1,0
Geology ,0,1,0
Chemical Engineering ,11,4,0
Political Science ,4,10,0
Comparative Literature ,0,2,1
Linguistics ,1,0,0
Geography ,2,1,0
Geography ,1,1,0
Geography ,3,1,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,0,2,0
Germanic Lang & Lit ,0,2,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,0,1,0
French ,4,2,0
French ,0,1,0
French ,5,7,0
Health ,2,18,0
Health ,17,39,0
Health ,7,42,0
Community Health ,30,149,0
Community Health ,82,207,0
Community Health ,35,81,0
Kinesiology ,17,8,0
Speech & Hearing Science ,0,3,0
Speech & Hearing Science ,1,16,0
Speech & Hearing Science ,10,212,0
"Recreation, Sport, and Tourism ",11,24,0
"Recreation, Sport, and Tourism ",9,37,0
"Recreation, Sport, and Tourism ",70,16,0
"Recreation, Sport, and Tourism ",109,25,0
Veterinary Medicine ,0,1,0
Veterinary Medicine ,0,1,0
Social Work ,0,15,0
Social Work ,13,47,0
Social Work ,4,51,0
Social Work ,0,1,0
Social Work ,1,12,0
Social Work ,5,20,0
Bioinformatics ,3,0,0
Bioenergy ,1,2,0
Agricultural Production ,2,2,0
Agric Leadership & Sci Educ ,9,12,0
Agric Leadership & Sci Educ ,10,13,0
Agr & Consumer Economics ,49,42,0
Agr & Consumer Economics ,5,1,0
Agr & Consumer Economics ,19,2,0
Agr & Consumer Economics ,105,37,0
Agr & Consumer Economics ,81,29,0
Agr & Consumer Economics ,19,10,0
Agr & Consumer Economics ,23,20,0
Agr & Consumer Economics ,18,23,0
Agr & Consumer Economics ,48,34,0
Agr & Consumer Economics ,59,21,0
Animal Sciences ,1,1,0
Animal Sciences ,1,0,0
Animal Sciences ,2,8,0
Animal Sciences ,12,14,0
Animal Sciences ,12,69,0
Animal Sciences ,60,294,0
Food Science & Human Nutrition ,39,81,0
Food Science & Human Nutrition ,5,8,0
Food Science & Human Nutrition ,16,98,0
Food Science & Human Nutrition ,6,87,0
Food Science & Human Nutrition ,28,45,0
Food Science & Human Nutrition ,8,21,0
Food Science & Human Nutrition ,0,8,0
Food Science & Human Nutrition ,3,4,0
Food Science & Human Nutrition ,8,12,0
Food Science & Human Nutrition ,1,8,0
Technical Systems Management ,3,0,0
Agr & Environmental Cmc & Educ ,4,13,0
Human Development & Family St ,10,150,0
Human Development & Family St ,6,60,0
Human & Community Development ,3,7,0
Crop Sciences ,1,1,0
Crop Sciences ,25,5,0
Crop Sciences ,37,5,0
Crop Sciences ,24,12,0
Crop Sciences ,1,0,0
Crop Sciences ,4,2,0
Crop Sciences ,1,0,0
Horticulture ,1,0,0
Horticulture ,1,0,0
Horticulture ,0,1,0
Horticulture ,2,0,0
Horticulture ,1,4,0
Horticulture ,10,6,0
Bioinformatics ,1,3,0
Natural Resrcs & Environ Sci ,23,18,0
Natural Resrcs & Environ Sci ,14,5,0
Natural Resrcs & Environ Sci ,0,1,0
Natural Resrcs & Environ Sci ,0,1,0
Natural Resrcs & Environ Sci ,32,41,0
Natural Resrcs & Environ Sci ,41,29,0
Natural Resrcs & Environ Sci ,11,12,0
Business Administration (MBA) ,107,49,0
Management ,12,7,0
Management ,1,3,0
Management ,14,12,0
Management ,4,11,0
Management ,12,11,0
Management ,7,10,0
Business Administration (MBA) ,45,17,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,2,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,4,0
Early Childhood Education ,1,3,0
Early Childhood Education ,0,2,0
Early Childhood Education ,0,4,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,6,0
Elementary Education ,3,9,0
Elementary Education ,3,59,0
Elementary Education ,8,77,0
Elementary Education ,0,2,0
Elementary Education ,0,1,0
Elementary Education ,0,9,0
Elementary Education ,0,3,0
Elementary Education ,0,2,0
Elementary Education ,0,1,0
Elementary Education ,0,1,0
Elementary Education ,3,32,0
Elementary Education ,1,15,0
Elementary Education ,0,8,0
Elementary Education ,0,2,0
Secondary Education ,1,3,0
Secondary Education ,4,2,0
Secondary Education ,2,2,0
Secondary Education ,1,0,0
Ed Organization and Leadership ,0,2,0
Ed Organization and Leadership ,5,5,0
